,mass,width,height,color_score,class
0,192,8.4,7.3,0.55,1
1,180,8.0,6.8,0.59,1
2,176,7.4,7.2,0.6,1
3,86,6.2,4.7,0.8,2
4,84,6.0,4.6,0.79,2
5,80,5.8,4.3,0.77,2
6,80,5.9,4.3,0.81,2
7,76,5.8,4.0,0.81,2
8,178,7.1,7.8,0.92,1
9,172,7.4,7.0,0.89,1
10,166,6.9,7.3,0.93,1
11,172,7.1,7.6,0.92,1
12,154,7.0,7.1,0.88,1
13,164,7.3,7.7,0.7,1
14,152,7.6,7.3,0.69,1
15,156,7.7,7.1,0.69,1
16,156,7.6,7.5,0.67,1
17,168,7.5,7.6,0.73,1
18,162,7.5,7.1,0.83,1
19,162,7.4,7.2,0.85,1
20,160,7.5,7.5,0.86,1
21,156,7.4,7.4,0.84,1
22,140,7.3,7.1,0.87,1
23,170,7.6,7.9,0.88,1
24,342,9.0,9.4,0.75,3
25,356,9.2,9.2,0.75,3
26,362,9.6,9.2,0.74,3
27,204,7.5,9.2,0.77,3
28,140,6.7,7.1,0.72,3
29,160,7.0,7.4,0.81,3
30,158,7.1,7.5,0.79,3
31,210,7.8,8.0,0.82,3
32,164,7.2,7.0,0.8,3
33,190,7.5,8.1,0.74,3
34,142,7.6,7.8,0.75,3
35,150,7.1,7.9,0.75,3
36,160,7.1,7.6,0.76,3
37,154,7.3,7.3,0.79,3
38,158,7.2,7.8,0.77,3
39,144,6.8,7.4,0.75,3
40,154,7.1,7.5,0.78,3
41,180,7.6,8.2,0.79,3
42,154,7.2,7.2,0.82,3
43,194,7.2,10.3,0.7,4
44,200,7.3,10.5,0.72,4
45,186,7.2,9.2,0.72,4
46,216,7.3,10.2,0.71,4
47,196,7.3,9.7,0.72,4
48,174,7.3,10.1,0.72,4
49,132,5.8,8.7,0.73,4
50,130,6.0,8.2,0.71,4
51,116,6.0,7.5,0.72,4
52,118,5.9,8.0,0.72,4
53,120,6.0,8.4,0.74,4
54,116,6.1,8.5,0.71,4
55,116,6.3,7.7,0.72,4
56,116,5.9,8.1,0.73,4
57,152,6.5,8.5,0.72,4
58,118,6.1,8.1,0.7,4
